1,83,70.414,0,0,0,0,0,0,1
87,30,12.777,0,0,0,0,0,0,1
86,36,11.633,43,28,33.561,0,0,0,1
86,36,11.633,0,0,0,0,0,0,1
85,36,10.835,0,0,0,0,0,0,1
85,38,10.254,0,0,0,0,0,0,1
83,38,8.7695,0,0,0,0,0,0,1
84,40,8.4748,0,0,0,0,0,0,1
83,43,8.1618,0,0,0,0,0,0,1
81,46,8.3442,0,0,0,0,0,0,1
81,48,7.5975,0,0,0,0,0,0,1
82,50,8.3038,0,0,0,0,0,0,1
84,52,9.1619,0,0,0,0,0,0,1
86,55,11.774,0,0,0,0,0,0,1
87,61,12.608,0,0,0,0,0,0,1
84,62,9.1229,0,0,0,0,0,0,1
83,62,8.3787,0,0,0,0,0,0,1
85,65,9.1347,44,57,34.251,0,0,0,1
85,65,9.1347,0,0,0,0,0,0,1
84,65,8.4166,0,0,0,0,0,0,1
83,65,7.7612,0,0,0,0,0,0,1
83,67,7.2707,0,0,0,0,0,0,1
82,67,6.6936,0,0,0,0,0,0,1
82,70,7.8452,0,0,0,0,0,0,1
81,70,7.3567,0,0,0,0,0,0,1
82,73,7.94,0,0,0,0,0,0,1
83,75,7.5903,0,0,0,0,0,0,1
85,77,8.666,0,0,0,0,0,0,1
84,77,8.168,0,0,0,0,0,0,1
86,80,10.373,0,0,0,0,0,0,1
86,82,11.038,0,0,0,0,0,0,1
84,87,7.9964,0,0,0,0,0,0,1
83,87,7.3322,0,0,0,0,0,0,1
84,90,8.4552,0,0,0,0,0,0,1
83,90,7.8135,0,0,0,0,0,0,1
83,92,6.9384,47,83,32.228,0,0,0,1
83,92,6.9384,0,0,0,0,0,0,1
82,92,6.4235,0,0,0,0,0,0,1
82,95,7.4066,0,0,0,0,0,0,1
81,96,7.9707,0,0,0,0,0,0,1
82,97,7.1004,0,0,0,0,0,0,1
81,98,7.9029,0,0,0,0,0,0,1
83,102,7.8643,0,0,0,0,0,0,1
85,104,9.0383,0,0,0,0,0,0,1
85,106,9.6826,0,0,0,0,0,0,1
86,109,11.305,0,0,0,0,0,0,1
84,113,10.011,0,0,0,0,0,0,1
83,114,7.5555,0,0,0,0,0,0,1
84,117,7.9554,0,0,0,0,0,0,1
82,119,6.9196,0,0,0,0,0,0,1
82,119,6.9196,0,0,0,0,0,0,1
82,122,7.9118,0,0,0,0,0,0,1
81,123,6.909,0,0,0,0,0,0,1
81,126,7.6237,0,0,0,0,0,0,1
